r1,E,G
1.224242424242,-149.460091888627,"[[-0.          0.         -0.04905547]
 [ 0.         -0.          0.04905547]]"
1.231313131313,-149.459370823057,"[[ 0.         -0.         -0.05878928]
 [ 0.          0.          0.05878928]]"
1.238383838384,-149.458523066428,"[[ 0.         -0.         -0.06802298]
 [ 0.          0.          0.06802298]]"
1.245454545455,-149.457555135488,"[[ 0.         -0.         -0.07678117]
 [-0.          0.          0.07678117]]"
1.252525252525,-149.456473225214,"[[ 0.          0.         -0.08508742]
 [-0.          0.          0.08508742]]"
1.259595959596,-149.455283222718,"[[ 0.          0.         -0.09296425]
 [-0.          0.          0.09296425]]"
1.266666666667,-149.453990720897,"[[ 0.          0.         -0.10043319]
 [-0.          0.          0.10043319]]"
1.273737373737,-149.452601031625,"[[ 0.          0.         -0.10751478]
 [-0.         -0.          0.10751478]]"
1.280808080808,-149.451119198041,"[[ 0.          0.         -0.11422865]
 [-0.          0.          0.11422865]]"
1.287878787879,-149.449550007939,"[[ 0.          0.         -0.12059351]
 [ 0.         -0.          0.12059351]]"
1.294949494949,-149.447898004394,"[[ 0.          0.         -0.12662719]
 [ 0.         -0.          0.12662719]]"
1.302020202020,-149.446167498258,"[[ 0.         -0.         -0.13234666]
 [ 0.          0.          0.13234666]]"
1.309090909091,-149.444362072669,"[[-0.          0.         -0.13776723]
 [ 0.          0.          0.13776723]]"
1.316161616162,-149.442486631312,"[[-0.          0.         -0.14290589]
 [ 0.         -0.          0.14290589]]"
1.323232323232,-149.440544335091,"[[-0.          0.         -0.14777649]
 [ 0.          0.          0.14777649]]"
1.330303030303,-149.438538673369,"[[ 0.         -0.         -0.15239282]
 [-0.          0.          0.15239282]]"
1.337373737374,-149.436472954476,"[[ 0.         -0.         -0.15676809]
 [ 0.          0.          0.15676809]]"
1.344444444444,-149.434350315476,"[[ 0.          0.         -0.16091472]
 [ 0.         -0.          0.16091472]]"
1.351515151515,-149.432173731389,"[[ 0.          0.         -0.16484455]
 [-0.         -0.          0.16484455]]"
1.358585858586,-149.429946024052,"[[ 0.          0.         -0.16856875]
 [-0.          0.          0.16856875]]"
1.365656565657,-149.427669870003,"[[-0.          0.         -0.17209785]
 [ 0.          0.          0.17209785]]"
1.372727272727,-149.425347808234,"[[ 0.          0.         -0.17544192]
 [-0.         -0.          0.17544192]]"
1.379797979798,-149.422982248040,"[[ 0.          0.         -0.17861029]
 [-0.          0.          0.17861029]]"
1.386868686869,-149.420575476368,"[[ 0.          0.         -0.18161193]
 [-0.          0.          0.18161193]]"
1.393939393939,-149.418129664795,"[[ 0.          0.         -0.18445523]
 [ 0.         -0.          0.18445523]]"
1.401010101010,-149.415646875802,"[[ 0.          0.         -0.18714805]
 [-0.         -0.          0.18714805]]"
1.408080808081,-149.413129069590,"[[-0.          0.         -0.18969785]
 [ 0.          0.          0.18969785]]"
1.415151515152,-149.410578153777,"[[ 0.         -0.         -0.19211167]
 [ 0.          0.          0.19211167]]"
1.422222222222,-149.407995812968,"[[ 0.         -0.         -0.19439606]
 [ 0.          0.          0.19439606]]"
1.429292929293,-149.405383778511,"[[ 0.          0.         -0.19655726]
 [ 0.         -0.          0.19655726]]"
1.436363636364,-149.402743658248,"[[ 0.       -0.       -0.198601]
 [ 0.        0.        0.198601]]"
1.443434343434,-149.400076983778,"[[ 0.          0.         -0.20053273]
 [-0.          0.          0.20053273]]"
1.450505050505,-149.397385216772,"[[-0.          0.         -0.20235768]
 [ 0.          0.          0.20235768]]"
1.457575757576,-149.394669752700,"[[ 0.         -0.         -0.20408057]
 [-0.          0.          0.20408057]]"
1.464646464646,-149.391931924726,"[[-0.          0.         -0.20570589]
 [ 0.          0.          0.20570589]]"
1.471717171717,-149.389173008131,"[[-0.          0.         -0.20723785]
 [ 0.          0.          0.20723785]]"
1.478787878788,-149.386394223349,"[[ 0.          0.         -0.20868034]
 [-0.          0.          0.20868034]]"
1.485858585859,-149.383596740566,"[[-0.          0.         -0.21003722]
 [ 0.          0.          0.21003722]]"
1.492929292929,-149.380781681112,"[[ 0.          0.         -0.21131183]
 [ 0.         -0.          0.21131183]]"
1.500000000000,-149.377950122217,"[[-0.          0.         -0.21250739]
 [ 0.          0.          0.21250739]]"
