r1	r2	a1	r3	a2	d1	E	grad_SD
1.000000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.533803473540	0.038420206776
1.100000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.537522093502	0.040176789375
1.200000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.528667638435	0.052492791843
1.300000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.513049883597	0.060290551317
1.400000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.494202168475	0.064295211921
1.500000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.474488283985	0.067020069164
1.600000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.456021331872	0.068181250178
1.700000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.440699980254	0.062296918891
1.800000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000		
1.900000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.385630042833	0.049436471360
2.000000000000	1.000000000000	120.000000000000	1.000000000000	-120.000000000000	0.000000000000	-39.367803242174	0.052682987719
