r1,E
0.800000000000,-148.737826866896
0.807070707071,-148.783140304477
0.814141414141,-148.826277246361
0.821212121212,-148.867331349716
0.828282828283,-148.906392201741
0.835353535354,-148.943545517162
0.842424242424,-148.978873320746
0.849494949495,-149.012454123922
0.856565656566,-149.044363085807
0.863636363636,-149.074672170461
0.870707070707,-149.103450294485
0.877777777778,-149.130763463979
0.884848484848,-149.156674906760
0.891919191919,-149.181245198168
0.898989898990,-149.204532376620
0.906060606061,-149.226592057193
0.913131313131,-149.247477536515
0.920202020202,-149.267239894668
0.927272727273,-149.285928089142
0.934343434343,-149.303589046243
0.941414141414,-149.320267748417
0.948484848485,-149.336007314643
0.955555555556,-149.350849079456
0.962626262626,-149.364832667613
0.969696969697,-149.377996064829
0.976767676768,-149.390375685342
0.983838383838,-149.402006436338
0.990909090909,-149.412921780561
0.997979797980,-149.423153793764
1.005050505051,-149.432733221720
1.012121212121,-149.441689533989
1.019191919192,-149.450050975361
1.026262626263,-149.457844614150
1.033333333333,-149.465096390010
1.040404040404,-149.471831158911
1.047474747475,-149.478072735178
1.054545454545,-149.483843933428
1.061616161616,-149.489166608059
1.068686868687,-149.494061690066
1.075757575758,-149.498549223902
1.082828282828,-149.502648401756
1.089898989899,-149.506377596787
1.096969696970,-149.509754394614
1.104040404040,-149.512795623823
1.111111111111,-149.515517385421
1.118181818182,-149.517935080633
1.125252525253,-149.520063437507
1.132323232323,-149.521916537304
1.139393939394,-149.523507839013
1.146464646465,-149.524850203245
1.153535353535,-149.525955915188
1.160606060606,-149.526836707150
1.167676767677,-149.527503779222
1.174747474747,-149.527967820766
1.181818181818,-149.528239029497
1.188888888889,-149.528327131285
1.195959595960,-149.528241398697
1.203030303030,-149.527990668648
1.210101010101,-149.527583360218
1.217171717172,-149.527027491501
1.224242424242,-149.526330695922
1.231313131313,-149.525500237859
1.238383838384,-149.524543028614
1.245454545455,-149.523465640842
1.252525252525,-149.522274323285
1.259595959596,-149.520975014730
1.266666666667,-149.519573357720
1.273737373737,-149.518074711795
1.280808080808,-149.516484165826
1.287878787879,-149.514806551456
1.294949494949,-149.513046453779
1.302020202020,-149.511208223865
1.309090909091,-149.509295478243
1.316161616162,-149.507313167668
1.323232323232,-149.505264482909
1.330303030303,-149.503152946795
1.337373737374,-149.500981899541
1.344444444444,-149.498754508538
1.351515151515,-149.496473777624
1.358585858586,-149.494142555970
1.365656565657,-149.491763546022
1.372727272727,-149.489339311261
1.379797979798,-149.486872284104
1.386868686869,-149.484364773287
1.393939393939,-149.481818970878
1.401010101010,-149.479236958578
1.408080808081,-149.476620714584
1.415151515152,-149.473972162994
1.422222222222,-149.471293004666
1.429292929293,-149.468584985154
1.436363636364,-149.465849725708
1.443434343434,-149.463088770279
1.450505050505,-149.460303591858
1.457575757576,-149.457495596241
1.464646464646,-149.454666125955
1.471717171717,-149.451816464710
1.478787878788,-149.448947840466
1.485858585859,-149.446061430073
1.492929292929,-149.443158360684
1.500000000000,-149.440239714537
